Latitude,Longitude,Pct change in death rate
-143.2186282,63.8649972,-1.5
-145.0231406,61.3498403,-9.2
-132.343978,56.317416,-27.3
-140.416942,60.0174528,-5.4
-151.5778496,65.3757271,-6.9
-109.4901722,35.385084,15.2
-109.7751627,31.8401287,-9.5
-111.7737277,35.8296919,-1
-110.8118696,33.7896177,30
-109.8783103,32.9318277,6.8
-109.2423231,33.2388723,11.6
-114.038806,33.7276104,23.1
-112.4989297,33.3451756,2.8
-113.7496891,35.717705,0.3
-110.3210248,35.3907852,8.8
-111.7836574,32.1280427,0.1
-111.3663396,32.9185209,14.4
-110.8452278,31.525733,-7.6
-112.5772247,34.631071,5.2
-113.910905,32.7739424,24
-91.3765466,34.2895697,14.2
-91.7722672,33.1908354,21.5
-92.3299488,36.2802684,11.1
-94.2562984,36.3378189,-5.2
-93.0792364,36.3042991,27.4
-92.1691559,33.4665491,27.7
-92.513879,33.5604604,24.7
-93.5409718,36.3373704,30.4
-91.2971578,33.2671393,7.8
-93.1762085,34.0533162,8.4
-90.4187041,36.3673021,-3.2
-92.0599504,35.5663146,2.4
-92.1887141,33.8932006,14.8
-93.2328433,33.2230377,12.5
-92.6892479,35.265702,15.5
-90.6314213,35.8277285,7.4
-94.2362187,35.5830114,9.8
-90.3153317,35.2118788,7
-90.7639835,35.2856921,10.5
-92.6539989,33.9678233,21.3
-91.2441034,33.8287519,18.3
-91.7227781,33.5872418,15.5
-92.3369277,35.1465478,9.9
-93.8876647,35.5085579,16.4
-91.8196636,36.3836192,11.4
-93.1469323,34.5788523,14
-92.4229794,34.2855683,18.4
-90.5663459,36.1206072,-2.6
-93.6654791,33.7283293,9.6
-92.9441474,34.3151767,15.4
-93.9909315,34.0830639,13
-91.5599423,35.7374992,17.9
-91.9136252,36.0948792,11.6
-91.2232051,35.5964674,10.2
-91.929673,34.277239,20.4
-93.4663223,35.5733586,27.2
-93.611514,33.2406294,22.7
-91.1011529,36.0410983,13.4
-90.7797172,34.7795048,11.6
-91.7276258,33.957675,21.7
-94.2297741,33.699497,18.1
-93.7209102,35.2186538,11.7
-91.894132,34.7551137,3.6
-93.7240531,36.0125452,24.9
-92.6785765,36.2666636,22.8
-93.9015018,33.3055054,20.8
-90.0522072,35.7669437,20
-91.2033099,34.6795117,18.1
-93.664153,34.5456557,4.9
-93.3050716,33.6666991,16.8
-93.2158984,35.9107423,24.4
-92.8784131,33.5911684,22.8
-92.9268773,34.9463629,15.5
-90.8555931,34.4236874,-3.8
-93.6586589,34.1581907,4.6
-90.6811037,35.5688702,25.1
-94.2308841,34.4909149,11.1
-93.0268181,35.456557,14.3
-91.5536205,34.8311162,10
-92.312996,34.7703106,6.6
-91.0284409,36.3412985,1
-90.7421378,35.0140258,10
-92.674463,34.6485246,14.2
-94.0636413,34.8588693,11
-92.6958884,35.8963868,11.9
-94.2749889,35.1969808,24.3
-94.2432792,33.9948773,10.3
-91.4710689,36.1733989,6.3
-92.1404819,35.8570011,2.4
-92.5981447,33.1682186,17.5
-92.5159757,35.5829532,5.7
-94.2172695,35.978001,51.4
-91.7530339,35.2551175,21.1
-91.2445353,35.1927768,17.4
-93.4083032,34.9977133,23.5
-121.912488,37.6471385,-12.9
-119.7983522,38.6217831,25.3
-120.6538563,38.4435501,23.5
-121.6019188,39.6659588,28.7
-120.5614415,38.1838996,20.7
-122.2375629,39.1777385,18.7
-121.9515431,37.919479,-7.3
-124.003614,41.763958,5.4
-120.5342245,38.7856116,2.5
-119.6550193,36.7610058,10.7
-122.4016998,39.6025462,26.7
-123.9261757,40.7066554,36.5
-115.3554001,33.0408143,-5.1
-117.4039269,36.561977,-0.4
-118.7295064,35.3466288,4.3
-119.8155301,36.072478,10.3
-122.7467569,39.0948019,11.1
-120.6299518,40.7210862,7.7
-118.2618616,34.1963983,-2.6
-119.7498023,37.2098213,-6.7
-122.7459738,38.0518169,-19.6
-119.9128613,37.5700295,16
-123.4428811,39.4323876,9.5
-120.7228019,37.1948063,6.9
-120.7183704,41.5929185,5.2
-118.8751668,37.9158363,-3.4
-121.3155723,36.240107,-0.1
-122.3259045,38.5070999,-5.1
-120.7713429,39.2975082,0.2
-117.7772068,33.6756872,-4
-120.7227181,39.0620323,-13.1
-120.8243709,39.9922953,6
-116.0022389,33.7298275,-3.8
-121.3404408,38.4500161,-0.2
-121.085296,36.6107024,-1.4
-116.1811967,34.8572198,-4.1
-116.7761174,33.0236041,-4.4
-123.0322294,37.7272391,-0.9
-121.272244,37.9349815,5.5
-120.4475445,35.3852242,-10
-122.3715457,37.4146725,-15.4
-120.0399729,34.5370572,-10.8
-121.6906224,37.2207774,-7.1
-122.007205,37.0124883,-16.6
-122.0435556,40.7605142,10.2
-120.5219926,39.5769252,1.9
-122.5332868,41.5879861,17.1
-121.939594,38.2672255,-1.3
-122.9261095,38.5251824,-5.7
-121.0028311,37.5623162,10.9
-121.7039397,39.0361898,6.5
-122.2322737,40.1261573,28.3
-123.114476,40.6478033,20
-118.7810551,36.2288339,3.7
-119.9647335,38.0214344,18.2
-119.1331432,34.3587415,-15
-121.9024413,38.6795955,4.4
-121.3442587,39.27013,9.7
-104.3318718,39.8743252,-5.9
-105.7880414,37.5684423,7.1
-104.3317065,39.6445537,0.2
-107.0508634,37.2023952,0.9
-102.5437412,37.3097802,8.5
-103.0775841,37.9318907,15.3
-105.3976911,40.0949699,3.9
-105.0507868,39.9535933,-18.3
-106.3166833,38.7382234,-4.8
-102.6017914,38.8356456,-0.4
-105.69257,39.669732,3.3
-106.1764473,37.2134065,7.1
-105.4289399,37.2775474,4.4
-103.7727363,38.3061801,15.1
-105.3735148,38.1019939,1.1
-107.864757,38.8617559,11.6
-104.8811054,39.7618502,-15.1
-108.5241156,37.7117226,0.2
-104.9259871,39.325414,1.6
-106.6951694,39.6269919,-9.5
-104.1140759,39.3151572,6.4
-104.5274718,38.8273831,19.5
-105.4249583,38.4551696,6.7
-107.9097802,39.5993517,1.9
-105.5288778,39.8611555,4.8
-106.0959348,40.1232049,0.8
-107.0665057,38.6726401,-5.5
-107.3382613,37.8211654,-1.6
-104.9599278,37.6878154,7.3
-106.3292476,40.6634319,3.3
-105.245462,39.5795106,5.1
-102.7568494,38.387663,8.9
-102.6030226,39.3053399,-1.3
-106.350079,39.2053405,-4.2
-107.8397178,37.2873673,0.6
-105.4867638,40.6580933,4.1
-104.0441103,37.3188308,5.4
-103.5075545,38.9937401,11.2
-103.0904639,40.7280911,10.3
-108.4618935,39.0194206,13
-107.003236,37.5490672,0.8
-108.2171545,40.6108644,12.3
-108.5957864,37.3380247,-0.9
-108.2662815,38.4075069,-2.7
-103.8122102,40.263159,2.4
-103.7212597,37.8841698,17.3
-107.7884802,38.1547313,-13
-105.7176479,39.1189141,1.3
-102.3451047,40.5947117,7.2
-106.9157831,39.2173323,-11
-102.3921613,37.9581814,7.7
-104.4898924,38.1706581,-3.4
-108.2007155,39.9726223,9.6
-106.453128,37.4858534,-0.1
-106.9877021,40.4836638,0.7
-106.2346662,38.0316514,-1.8
-107.6702566,37.7810745,-5.4
-108.4272635,38.009319,-11.9
-102.3553579,40.8715679,13.4
-106.1375545,39.6210227,-4.9
-105.1873651,38.8699759,11
-103.2097445,39.9657899,2.6
-104.383666,40.555961,-2.8
-102.4226489,40.0006314,5
-73.3670614,41.2274128,-11.6
-72.7329157,41.8060534,-5.5
-73.2354042,41.7918833,-4.7
-72.5227802,41.4330028,-7.1
-72.9002037,41.3497173,-3.2
-72.1086339,41.4726517,-7.5
-72.3409779,41.8580807,-7.2
-71.9907017,41.8249987,-5.1
-75.5029819,39.0970884,-5.1
-75.6441324,39.5759152,-5.1
-75.3370237,38.6732275,-7.9
-77.017229,38.9041031,4.2
-82.357221,29.6757403,10.3
-82.3022838,30.3244416,8.9
-85.6316802,30.2382184,22.5
-82.1666793,29.9523863,3.1
-80.7005344,28.2986776,11.1
-80.4766834,26.1935353,-8.6
-85.1979155,30.3888013,18.8
-81.9412782,26.8689745,7.8
-82.5248099,28.8436402,35.2
-81.8650364,29.9865835,-0.5
-81.4009553,26.118786,5
-82.6231143,30.2212256,9.8
-81.8062531,27.1905809,5.5
-83.1956656,29.5808994,15
-81.6481132,30.3352449,7.6
-87.3388996,30.6116382,8.7
-81.2862729,29.4748818,14.3
-84.7991742,29.8101756,22.6
-84.6126072,30.5786866,6.5
-82.7958011,29.7234556,8.2
-81.1908197,26.9548102,16
-85.2565366,29.9072571,25.4
-82.9510714,30.4911868,11.2
-81.8215798,27.4928458,16.3
-81.1521142,26.539967,16.8
-82.4662272,28.5730426,22.4
-81.3423534,27.3410799,32.4
-82.3497186,27.9066072,-6.8
-85.8159385,30.8620072,20.9
-80.5747894,27.7005283,3.7
-85.2088141,30.7892485,21.5
-83.8908594,30.4245577,18.9
-83.1785097,29.9900661,18.1
-81.7122822,28.7641128,13.9
-81.8919943,26.5590348,3.1
-84.2778004,30.4593104,16.1
-82.783462,29.2844566,14.3
-84.8685805,30.2598494,19.1
-83.4704159,30.4472325,13.5
-82.3687669,27.4816825,-2.7
-82.0431004,29.2028047,17.7
-80.3982011,27.0836036,11.3
-80.4970989,25.6105799,-7.2
-80.9532703,24.7688833,4.4
-81.7650867,30.6059629,12.8
-86.5941872,30.665851,12.1
-80.8873884,27.3855924,16.2
-81.3232839,28.5143906,-0.1
-81.1393116,28.0590267,-2.9
-80.4483542,26.6491257,-2.7
-82.4648324,28.3077107,10.6
-82.7395188,27.9031078,-0.1
-81.6934703,27.9535813,12.6
-81.7320389,29.5938964,4.6
-81.3839483,29.8906441,-3.6
-80.4435357,27.3798137,7.9
-87.0127623,30.7018378,0.9
-82.3658351,27.1843855,9
-81.1319894,28.6900918,4.6
-82.0743472,28.7141008,19.9
-82.9927542,30.1892438,12.8
-83.6094825,30.0099084,17.9
-82.366918,30.0542796,9.6
-81.161792,29.057769,8.7
-84.3748463,30.139432,23.6
-86.1766139,30.6312106,4.3
-85.6627968,30.6022166,21.1
-82.2901025,31.739712,12.4
-82.8781511,31.2968056,15.8
-82.4514325,31.5502095,28.5
-84.4548812,31.3195798,18.4
-83.2554566,33.0594897,15.7
-83.4984409,34.3519216,11.3
-83.7123025,33.9920094,-1.6
-84.8381879,34.2409175,20.6
-83.147197,31.7407715,32.5
-83.2278695,31.2886522,21.8
-83.6941941,32.8088446,-0.9
-83.3317174,32.4354034,16.3
-81.9829779,31.1973339,30.6
-83.5819054,30.8229337,8.1
-81.4385431,32.0179692,12.7
-81.744021,32.3917111,17.3
-82.0001638,33.0601805,9.9
-83.9582206,33.2903551,8.1
-84.6262895,31.521279,22.1
-81.6420193,30.913358,12.9
-82.0712656,32.4039497,14.4
-85.0805272,33.5822366,10.7
-85.1393857,34.9002176,5
-82.1396442,30.7799036,19.2
-81.085184,31.9804037,10.2
-84.7880206,32.3474454,12.1
-85.3452894,34.4741785,21.1
-84.4750574,34.2443166,-3.8
-83.3671522,33.9521852,14
-84.9925826,31.6198309,17.4
-84.3555727,33.5426863,8.3
-82.7026143,30.9176531,27.6
-84.5741668,33.9399407,-11.4
-82.8449401,31.5492452,38.7
-83.769773,31.1897075,8
-82.2522957,33.5476313,-10
-83.4294448,31.1525157,28.6
-84.7621381,33.3528965,10
-83.9791874,32.7094283,13.1
-83.7535313,31.9151491,13.1
-85.5062006,34.8524237,8.5
-84.1732611,34.4426077,4.6
-84.5838952,30.8805967,16.6
-84.2263432,33.7706611,-5.4
-83.1678658,32.164369,5.9
-83.807167,32.1519954,16.3
-84.20904,31.5325876,7.5
-84.7673139,33.7012421,2.9
-84.9067225,31.3241906,33.2
-82.8973758,30.7140081,8.5
-81.3433566,32.3616879,5.7
-82.8419087,34.116413,14.3
-82.2997628,32.5910995,22.3
-81.890153,32.1530834,16
-84.3173308,34.8665427,8.2
-84.4939407,33.4127172,-0.5
-85.2136851,34.2636918,26.5
-84.1274075,34.225143,4.6
-83.2274485,34.3753453,24.5
-84.4681816,33.7900338,-15.4
-84.4546244,34.6905055,24.5
-82.6069126,33.2274908,22.7
-81.4964503,31.2127098,21.9
-84.8738622,34.5096669,12.1
-84.2450203,30.8758999,17.8
-83.1666127,33.5767403,9.1
-84.023087,33.9591457,-5.3
-83.5258749,34.6343924,7.9
-83.8184997,34.3175689,1.5
-83.0004653,33.2692195,23.6
-85.2200629,33.7951646,3.9
-84.912432,32.7315494,9.4
-82.96329,34.3487328,14.2
-85.1378862,33.2913469,14.1
-84.1540207,33.4529466,8
-83.6625217,32.4582875,23.1
-83.2770374,31.6043062,37.7
-83.562566,34.1308811,8.3
-83.6901425,33.3181691,9.2
-82.6368248,31.8116153,21.6
-82.4200036,33.0581756,27.2
-81.9715244,32.7945631,10
-82.6639696,32.6945842,26.8
-83.5621958,33.0216636,7.2
-84.1466893,33.0744405,10.1
-83.0631635,31.0381973,12.6
-82.9263171,32.3932197,23.9
-84.1466814,31.8184185,23.8
-81.4578709,31.8074582,31.1
-82.4482992,33.7921507,9.1
-81.7428697,31.7495633,9.6
-83.2689952,30.833145,9
-83.9989251,34.5681403,15.6
-82.4787331,33.4796231,22.2
-81.3722892,31.4885058,20
-84.0512306,32.3626859,14.4
-83.2037373,34.1285257,7.5
-84.5287354,32.3593118,13.3
-84.6670579,33.0292666,23.2
-84.7303983,31.1629309,33.5
-84.192038,31.228997,12.2
-83.9229376,33.0174352,0.8
-82.5333487,32.1721081,2.5
-83.4994346,33.5986956,0.8
-84.7379899,34.7970974,8.3
-84.874946,32.510197,29.7
-83.8551837,33.5440407,-0.5
-83.4377284,33.8341247,-4
-83.0740805,33.8668062,11
-84.8671693,33.9210299,7.2
-83.8319779,32.5713241,-2.9
-84.4903508,34.4567464,13.9
-82.2103703,31.353998,23
-84.3898475,33.0812241,9
-85.1883384,33.9960153,6.6
-83.4818454,32.2388026,13.5
-83.3717898,33.3210605,6.4
-85.004799,31.8629404,18.3
-83.4048701,34.8839345,4.8
-84.7523108,31.762651,22.1
-82.0749983,33.361487,32.4
-84.0263696,33.6520811,10.2
-84.3227083,32.2634439,2.6
-81.6175849,32.7447512,7
-84.8676853,30.9339599,17.7
-84.2849046,33.2623481,13
-83.2902156,34.5529139,14.3
-84.8349117,32.073225,10.5
-84.2042935,32.0422659,16.5
-84.5300288,32.7046026,18.2
-82.8752721,33.559319,16.2
-82.0592081,32.0437683,15.8
-84.2514261,32.5546668,3.7
-82.9310624,31.9136387,8.5
-84.4394464,31.7771909,15.5
-83.9198155,30.8646195,13.1
-83.5259307,31.4570027,37
-82.3306257,32.1178118,8.1
-83.7322645,34.9025294,13.5
-82.5708819,32.4095857,13.7
-85.02836,33.034482,27.1
-83.6203195,31.7248005,25.6
-83.4258792,32.6658469,22.5
-83.9892568,34.833333,15.3
-84.2922831,32.8818367,18.9
-85.3054565,34.735802,10.3
-83.731829,33.7838866,5.2
-82.4215072,31.050881,30.5
-82.6880123,33.4191691,24.8
-82.7981123,32.9718435,19
-81.9123763,31.5478449,18.5
-84.5538279,32.0466911,10.1
-82.7338492,32.105258,6
-83.7434165,34.643776,10.7
-84.968541,34.8017261,16.1
-83.4382617,31.9627168,13.8
-82.7479211,33.7790312,9.4
-83.1755122,32.8042663,20.3
-83.8499598,31.5517733,13.7
-155.5024434,19.5977643,30
-158.1234063,21.5800225,9.5
-156.9740097,21.2187644,0
-159.7059653,22.0120383,-9.1
-156.6015502,20.8559308,3.7
-116.244376,43.4514767,-3.8
-116.4616241,44.877004,-5.2
-112.2289819,42.6929211,0
-111.3275168,42.2858922,9.6
-116.6335414,47.2184513,1.2
-112.3992058,43.2163568,5.3
-113.9553713,43.394192,-12.9
-115.7151105,43.9872749,-7.4
-116.6123638,48.316796,-10.5
-111.6218783,43.3951708,13.9
-116.5246676,48.7731313,-9
-113.1776308,43.685101,4.8
-114.7721349,43.5025515,-12.2
-116.709058,43.6257956,6.3
-111.5442734,42.7860724,6.2
-113.6263276,42.282313,2.4
-112.3546128,44.290218,2
-115.6535003,46.67257,-2
-114.2522675,44.273351,-2.3
-115.471205,43.3946984,-3.6
-111.8229653,42.1736093,6.2
-111.484429,44.2180909,-0.5
-116.3987839,44.0614727,0.7
-114.8214203,42.9731849,-10.6
-115.4673371,45.849644,-0.9
-112.3185879,43.7969649,9.7
-114.2620858,42.6913953,-6.3
-116.6959222,47.6759658,-5.8
-116.7309737,46.8189202,-6.5
-113.8870422,44.9285059,4.3
-116.42376,46.2363277,-4.4
-114.1538989,42.9861805,-11.7
-111.6569925,43.788614,0.4
-113.6398404,42.8572114,0.4
-116.7609091,46.3337914,-6.6
-112.5204486,42.1838954,7.1
-116.1896903,42.5728508,-2.7
-116.7502379,44.00243,1.9
-112.844407,42.694126,-3.4
-115.8850916,47.3476935,-3.7
-111.2117653,43.7609939,-2.5
-114.6656386,42.352309,-2.4
-115.6180612,44.8559596,-5.9
-116.7977917,44.4482229,-6.2
-91.1949607,39.9860525,13.5
-89.3495158,37.1836583,12.1
-89.4365916,38.885924,18
-88.8242951,42.3189831,7.5
-90.7503095,39.9620694,14.2
-89.5283772,41.4013043,12.6
-90.6662949,39.1642619,5.6
-89.9241894,42.0709,10.3
-90.2457045,39.9692024,12.4
-88.196975,40.1389845,4
-89.2795927,39.5455242,-1.3
-87.7916872,39.3323642,3.7
-88.4823254,38.7468187,15.4
-89.4262278,38.6062953,3.4
-88.220782,39.5136797,6.9
-87.6454546,41.8942937,-5.7
-87.7606193,39.0027865,4.7
-88.2406193,39.273121,-0.2
-88.768991,41.8946125,-0.7
-88.9018526,40.1814993,18.7
-88.2228656,39.766078,-2.5
-88.0860383,41.8520581,-4
-87.7471102,39.679037,-2
-88.0479408,38.4170954,18.2
-88.5928488,39.0479445,-4.2
-89.0179232,39.0011246,7.9
-88.2245882,40.5965386,4.9
-88.9263215,37.9918516,15.7
-90.2022689,40.4652401,28.3
-88.2279642,37.7686768,14.9
-90.3877569,39.3554444,7.9
-88.4010545,41.2924096,-5.1
-88.5390093,38.0852273,4.5
-91.1688008,40.401318,18.4
-88.2661478,37.5178517,6.8
-90.9412464,40.814471,22.9
-90.1308378,41.3500209,24.2
-87.833601,40.7488665,13.2
-89.3812119,37.7860959,14
-88.1507629,39.0048737,4.3
-88.92421,38.3007796,13
-90.3613647,39.0801918,8.1
-90.2114705,42.3623905,0.4
-88.8821305,37.4607092,7.8
-88.4280395,41.9395938,-0.1
-87.8611165,41.1395105,21.4
-88.4306257,41.5881403,-11.8
-90.2137921,40.9309446,19.7
-87.435976,42.326441,-11.6
-88.8859312,41.3433407,0.8
-87.7302207,38.7189542,6.1
-89.2993505,41.7474419,10.3
-88.5528518,40.8943761,-2.4
-89.3653086,40.1292768,13.9
-90.6789543,40.4558082,31.7
-88.452245,42.3242982,-9.4
-88.8445391,40.4945594,10.4
-88.9615288,39.8602372,1.8
-89.9263435,39.2659,1.6
-89.9001953,38.8270817,9.2
-88.9204885,38.6481057,9.2
-89.3423714,41.0311192,10
-89.9135746,40.2369926,16.8
-88.7056578,37.216119,6.9
-89.7941326,40.0225693,3.2
-90.7417698,41.2056046,11.1
-90.1790777,38.2779831,4.5
-89.4780041,39.2280932,10.5
-90.2048237,39.7176209,14.2
-88.6257259,39.6368956,6.1
-89.3201764,42.041884,12.4
-89.7671064,40.7859952,14
-89.3685249,38.0843809,3.8
-88.5923535,40.0090334,5
-90.8890344,39.6251059,14.3
-88.5423737,37.4171687,2.6
-89.1277549,37.2156152,12
-89.2983474,41.1989613,6.9
-89.8212096,38.0565149,6.3
-88.0854523,38.7121872,12.8
-90.5721252,41.4684205,-1
-89.9285459,38.4701976,9.5
-88.5450236,37.7515083,14.9
-89.6624251,39.7568675,6.5
-90.6134641,40.1569048,29
-90.4777707,39.6370016,6.7
-88.7988615,39.3849258,1.6
-89.7974111,41.0969077,16.1
-89.6659942,42.3497262,12.6
-89.5162597,40.5080739,8.2
-89.2446391,37.4856521,21.4
-87.7267779,40.1867542,-5.7
-87.8391674,38.4458209,-0.2
-90.6202228,40.8504412,25.3
-89.4171873,38.3531405,0.2
-88.4324302,38.4318573,9.7
-88.1785848,38.087372,12.4
-89.9109567,41.7505708,14.4
-87.9784564,41.4484742,-3.5
-88.9300182,37.7303533,0.7
-89.1612053,42.3373957,9.9
-89.2105871,40.789787,3.7
-84.9361305,40.7457327,8.4
-85.0717907,41.0919086,19.3
-85.8979988,39.205843,5.6
-87.3147896,40.6009826,3.3
-85.3237297,40.4726717,7.5
-86.4690137,40.0508916,-7.5
-86.2395856,39.1928859,0.1
-86.5651412,40.5849801,-8.9
-86.3551685,40.7537986,-9.3
-85.7111221,38.4762174,8.7
-87.1158369,39.3939513,-5.8
-86.4775665,40.305944,-4.4
-86.4408711,38.2894327,21.1
-87.076944,38.696089,14.9
-84.9734976,39.14832,2
-85.499831,39.3059799,2.8
-85.0001854,41.4011894,13.8
-85.3992617,40.2275433,9.5
-86.8733845,38.3733441,10.9
-85.8639864,41.6006928,5.5
-85.1850315,39.6396552,22.3
-85.9118469,38.3180811,1.3
-87.2348725,40.1212366,-8.1
-85.0669641,39.409762,4.3
-86.265006,41.0503837,1.1
-87.5805231,38.3173981,16.2
-85.6549455,40.5157575,11.6
-87.0047712,39.0471466,4.3
-86.0217126,40.053507,-6.1
-85.7731503,39.8225286,-8.6
-86.1037659,38.1864534,2.1
-86.5099076,39.7689631,-9.1
-85.3973629,39.9295911,10.3
-86.1141178,40.4835368,6.2
-85.4785975,40.8263938,9.1
-86.0425161,38.9119571,2.2
-87.1188137,41.0176883,7.3
-85.0023352,40.4349566,-0.7
-85.44009,38.7836039,-5.1
-85.628103,38.9962289,10.2
-86.0942641,39.496092,1
-87.4203544,38.688391,1.5
-85.8615754,41.2442928,13.3
-85.4263018,41.6424683,6.9
-87.3743368,41.472247,4.5
-86.7447386,41.5490129,9.6
-86.4878198,38.8398148,5.1
-85.7224543,40.166203,4.6
-86.1357939,39.7829759,2.6
-86.2690363,41.3250032,9.9
-86.8018468,38.705322,11.4
-86.0442585,40.7728813,-0.8
-86.52331,39.1607286,4.4
-86.8927145,40.0402962,-1.9
-86.4474573,39.4826458,2.5
-87.4021716,40.9623985,2.7
-85.4172708,41.4046794,18.9
-84.9642994,38.940527,-6.7
-86.489257,38.5473812,9.9
-86.8388453,39.3173394,1.9
-87.1969502,39.7742496,-10.6
-86.6265397,38.0814361,24.3
-87.2325472,38.3979613,7.6
-87.0713128,41.5099144,2.9
-87.8686526,38.0276138,11.4
-86.6925383,41.0452718,-1.1
-86.8533729,39.6655479,-4.3
-85.0057896,40.1640793,12.7
-85.2604937,39.1002257,4.5
-85.4664031,39.6223572,-3.1
-86.2881592,41.6176989,5.2
-85.7518981,38.6794309,3.2
-85.7921742,39.5241345,-1.6
-87.0103746,38.0096966,37.7
-86.6446359,41.2844785,2
-85.0024051,41.643467,12.1
-87.4158429,39.0892251,-5.8
-85.029681,38.8258545,-4.9
-86.8935538,40.3891334,-18.7
-86.0562066,40.3102294,7.1
-84.9251523,39.6231109,11.8
-87.5861659,38.0200703,20.5
-87.4620713,39.8540452,0.2
-87.3903754,39.4291426,11.8
-85.7951915,40.8437475,7.2
-87.3758466,40.3526584,3
-87.2720486,38.0977282,23.3
-86.1047512,38.6006126,10.2
-85.0067351,39.8630908,37
-85.2129742,40.7352727,9.2
-86.8642934,40.7509496,3.8
-85.5018918,41.1364261,8.6
-94.4781643,41.3285283,10.1
-94.6969059,41.0216555,5.9
-91.382751,43.2749637,15.7
-92.873061,40.7442964,10.8
-94.9043119,41.679178,10
-92.05763,42.0925474,7.4
-92.3076003,42.4711317,23.5
-93.938358,42.038642,10.5
-92.3273559,42.7808946,19.6
-91.8386658,42.4703284,7.3
-95.1414324,42.7415219,5.8
-92.7800664,42.7347076,21.1
-94.6436829,42.3861699,14.3
-94.8676471,42.039492,14.2
-94.9333023,41.3338235,17.7
-91.1326105,41.77236,-2.7
-93.2509646,43.0749751,27.9
-95.6332616,42.7427375,16.8
-92.3172101,43.0597409,24.2
-93.7840961,41.0291908,10.5
-95.1498753,43.0812244,13.9
-91.3235764,42.8409849,4.9
-90.5342431,41.8980732,-1.5
-95.3890903,42.0431192,13.3
-94.0407065,41.6853205,7.6
-92.4103453,40.7480892,5.6
-93.7845799,40.7363787,9.8
-91.3667667,42.4729373,0.8
-91.1869253,40.9153393,10.2
-95.1960572,43.3896107,11.9
-90.8787708,42.4634808,4.8
-94.6693702,43.3779844,10.1
-91.8403761,42.8641219,17.1
-92.7873669,43.052741,19.8
-93.2714152,42.7365451,17.5
-95.5991816,40.7425902,5.3
-94.3887028,42.042494,12.2
-92.7902613,42.4033232,21.3
-94.5012723,41.6835728,7.7
-93.709198,42.3907681,14.5
-93.7436965,43.0754105,12.5
